Index,Amplitude (0-4096)
0,745
1,733
2,747
3,802
4,827
5,861
6,898
7,913
8,885
9,674
10,538
11,783
12,1318
13,1860
14,2444
15,2987
16,3262
17,3113
18,2762
19,2341
20,1915
21,1603
22,1373
23,1184
24,1040
25,976
26,1039
27,1145
28,1092
29,1009
30,1069
31,995
32,930
33,873
34,822
35,773
36,713
37,668
38,640
39,656
40,716
41,862
42,911
43,971
44,999
45,1049
46,1069
47,1109
48,1119
49,1143
50,1162
51,1197
52,1200
53,1235
54,1232
55,1264
56,1259
57,1275
58,1365
59,1631
60,2107
61,2676
62,3208
63,3537
64,3441
65,3039
66,2611
67,2174
68,1789
69,1462
70,1199
71,989
72,899
73,909
74,1003
75,1093
76,1239
77,1258
78,1235
79,1114
80,987
81,900
82,805
83,752
84,744
85,723
86,749
87,777
88,911
89,974
90,1039
91,1083
92,1106
93,1097
94,1143
95,1133
96,1135
97,1156
98,1246
99,1557
100,2031
101,2559
102,3091
103,3417
104,3358
105,2965
106,2559
107,2143
108,1776
109,1472
110,1190
111,966
112,874
113,846
114,864
115,935
116,1023
117,1099
118,1130
119,1075
120,917
121,827
122,751
123,722
124,698
125,676
126,704
127,731
128,871
129,922
130,967
131,998
132,1047
133,1061
134,1072
135,1095
136,1196
137,1495
138,1991
139,2582
140,3136
141,3477
142,3414
143,3021
144,2605
145,2159
146,1793
147,1477
148,1223
149,1011
150,883
151,834
152,833
153,894
154,946
155,979
156,965
157,927
158,858
159,794
160,719
161,691
162,656
163,655
164,665
165,688
166,815
167,883
168,918
169,958
170,997
171,1060
172,1072
173,1090
174,1126
175,1127
176,1146
177,1170
178,1329
179,1695
180,2262
181,2883
182,3540
183,3860
184,3579
185,3041
186,2559
187,2153
188,1773
189,1462
190,1199
191,1005
192,891
193,878
194,899
195,949
196,994
197,1040
198,1039
199,967
200,885
201,822
202,752
203,685
204,687
205,679
206,693
207,722
208,859
209,897
210,934
211,977
212,1019
213,1019
214,1056
215,1140
216,1366
217,1811
218,2399
219,2952
220,3329
221,3355
222,3035
223,2625
224,2201
225,1807
226,1475
227,1212
228,995
229,845
230,789
231,815
232,877
233,957
234,1040
235,1081
236,1039
237,903
238,837
239,741
240,715
241,683
242,662
243,691
244,737
245,825
246,873
247,941
248,962
249,1008
250,1050
251,1090
252,1118
253,1147
254,1131
255,1174
256,1265
257,1525
258,2075
259,2722
260,3382
261,3798
262,3734
263,3252
264,2709
265,2251
266,1858
267,1535
268,1291
269,1097
270,944
271,880
272,857
273,881
274,913
275,960
276,938
277,902
278,848
279,789
280,722
281,678
282,656
283,650
284,657
285,684
286,784
287,845
288,891
289,947
290,979
291,1040
292,1053
293,1082
294,1090
295,1122
296,1121
297,1167
298,1371
299,1819
300,2415
301,3053
302,3648
303,3772
304,3427
305,2913
306,2435
307,2032
308,1685
309,1411
310,1191
311,1018
312,877
313,864
314,877
315,880
316,891
317,921
318,899
319,846
320,797
321,750
322,692
323,655
324,624
325,639
326,683
327,720
328,817
329,848
330,905
331,958
332,1008
333,1031
334,1072
335,1082
336,1104
337,1135
338,1179
339,1377
340,1808
341,2381
342,2971
343,3479
344,3572
345,3266
346,2794
347,2384
348,1983
349,1665
350,1389
351,1152
352,976
353,907
354,896
355,911
356,958
357,989
358,1002
359,969
360,912
361,850
362,767
363,727
364,672
365,676
366,691
367,719
368,815
369,890
370,912
371,957
372,1001
373,1040
374,1046
375,1099
376,1200
377,1487
378,1964
379,2554
380,3070
381,3409
382,3315
383,2950
384,2559
385,2160
386,1825
387,1523
388,1266
389,1052
390,897
391,836
392,847
393,883
394,934
395,957
396,961
397,920
398,871
399,791
400,741
401,695
402,655
403,653
404,672
405,717
406,830
407,876
408,918
409,953
410,993
411,1023
412,1083
413,1100
414,1113
415,1139
416,1149
417,1176
418,1178
419,1278
420,1609
421,2160
422,2800
423,3511
424,3945
425,3841
426,3351
427,2832
428,2384
429,1986
430,1669
431,1387
432,1175
433,999
434,911
435,869
436,862
437,891
438,933
439,896
440,874
441,816
442,752
443,691
444,635
445,621
446,620
447,633
448,665
449,753
450,823
451,867
452,922
453,968
454,992
455,1035
456,1050
457,1057
458,1071
459,1127
460,1331
461,1753
462,2334
463,2934
464,3479
465,3680
466,3389
467,2933
468,2480
469,2078
470,1742
471,1462
472,1234
473,1040
474,921
475,846
476,842
477,863
478,881
479,895
480,895
481,847
482,790
483,737
484,693
485,689
486,673
487,703
488,796
489,861
490,930
491,1005
492,1050
493,1081
494,1115
495,1165
496,1147
497,1119
498,1161
499,1424
500,1847
501,2407
502,2917
503,3245
504,3186
505,2852
506,2438
507,2047
508,1675
509,1391
510,1168
511,963
512,814
513,744
514,761
515,767
516,805
517,846
518,834
519,827
520,787
521,720
522,654
523,609
524,593
525,606
526,609
527,688
528,779
529,835
530,871
531,940
532,982
533,1008
534,1050
535,1067
536,1088
537,1105
538,1123
539,1119
540,1157
541,1267
542,1616
543,2179
544,2829
545,3463
546,3811
547,3618
548,3122
549,2636
550,2210
551,1872
552,1639
553,1386
554,1158
555,1001
556,878
557,833
558,817
559,816
560,839
561,832
562,815
563,753
564,718
565,656
566,624
567,611
568,615
569,644
570,693
571,784
572,818
573,866
574,907
575,925
576,962
577,999
578,1023
579,1039
580,1056
581,1095
582,1115
583,1132
584,1127
585,1157
586,1168
587,1251
588,1530
589,2038
590,2661
591,3295
592,3803
593,3772
594,3330
595,2843
596,2377
597,1994
598,1677
599,1437
600,1219
601,1043
602,931
603,885
604,896
605,902
606,913
607,902
608,869
609,827
610,778
611,721
612,690
613,651
614,650
615,673
616,691
617,807
618,858
619,880
620,922
621,970
622,992
623,1041
624,1067
625,1094
626,1115
627,1127
628,1156
629,1168
630,1170
631,1186
632,1228
633,1409
634,1771
635,2312
636,2870
637,3378
638,3598
639,3394
640,2979
641,2554
642,2148
643,1793
644,1477
645,1214
646,1035
647,931
648,918
649,971
650,1008
651,1073
652,1077
653,1072
654,995
655,911
656,851
657,784
658,731
659,703
660,711
661,739
662,765
663,880
664,906
665,947
666,987
667,1012
668,1046
669,1074
670,1103
671,1111
672,1111
673,1167
674,1361
675,1759
676,2278
677,2800
678,3248
679,3395
680,3199
681,2827
682,2438
683,2060
684,1703
685,1408
686,1152
687,990
688,898
689,894
690,938
691,974
692,1040
693,1065
694,1017
695,987
696,894
697,838
698,769
699,735
700,719
701,746
702,747
703,830
704,918
705,945
706,994
707,1042
708,1075
709,1091
710,1090
711,1103
712,1137
713,1199
714,1431
715,1886
716,2448
717,3011
718,3449
719,3555
720,3271
721,2832
722,2407
723,2032
724,1685
725,1422
726,1193
727,1037
728,943
729,905
730,919
731,941
732,974
733,964
734,931
735,880
736,829
737,753
738,711
739,701
740,677
741,687
742,720
743,796
744,850
745,891
746,941
747,988
748,1008
749,1057
750,1076
751,1092
752,1115
753,1133
754,1152
755,1232
756,1493
757,1984
758,2554
759,3146
760,3664
761,3745
762,3377
763,2899
764,2448
765,2066
766,1722
767,1440
768,1210
769,1038
770,921
771,895
772,891
773,929
774,935
775,946
776,904
777,851
778,793
779,750
780,675
781,663
782,662
783,645
784,667
785,735
786,831
787,877
788,923
789,962
790,1003
791,1018
792,1043
793,1061
794,1088
795,1134
796,1345
797,1781
798,2319
799,2875
800,3347
801,3504
802,3261
803,2846
804,2436
805,2064
806,1741
807,1443
808,1235
809,1043
810,951
811,918
812,928
813,962
814,1001
815,1039
816,1001
817,965
818,897
819,831
820,778
821,749
822,718
823,731
824,752
825,810
826,897
827,915
828,976
829,992
830,1010
831,1053
832,1147
833,1373
834,1795
835,2298
836,2775
837,3090
838,3152
839,2891
840,2554
841,2167
842,1830
843,1521
844,1233
845,1023
846,894
847,863
848,878
849,951
850,1023
851,1095
852,1105
853,1059
854,955
855,873
856,812
857,769
858,738
859,738
860,780
861,803
862,902
863,942
864,976
865,1002
866,1040
867,1073
868,1259
869,1612
870,2129
871,2646
872,3086
873,3274
874,3126
875,2773
876,2383
877,2017
878,1699
879,1407
880,1168
881,981
882,880
883,845
884,861
885,900
886,944
887,958
888,935
889,927
890,845
891,793
892,737
893,721
894,720
895,722
896,751
897,816
898,882
899,929
900,971
901,991
902,1008
903,1040
904,1078
905,1155
906,1426
907,1887
908,2455
909,2997
910,3379
911,3433
912,3111
913,2704
914,2308
915,1965
916,1685
917,1407
918,1190
919,1038
920,957
921,926
922,965
923,982
924,1039
925,1018
926,976
927,928
928,883
929,796
930,747
931,706
932,703
933,710
934,736
935,810
936,862
937,889
938,930
939,982
940,1130
941,1442
942,1919
943,2448
944,2857
945,3051
946,2939
947,2672
948,2319
949,1984
950,1712
951,1409
952,1185
953,977
954,880
955,855
956,858
957,912
958,933
959,945
960,922
961,874
962,804
963,720
964,659
965,627
966,607
967,624
968,685
969,785
970,855
971,912
972,958
973,980
974,1008
975,1063
976,1105
977,1345
978,1795
979,2399
980,2965
981,3390
982,3415
983,3063
984,2647
985,2255
986,1874
987,1596
988,1329
989,1102
990,914
991,811
992,766
993,752
994,797
995,816
996,819
997,800
998,756
999,705
1000,673
1001,640
1002,621
1003,640
1004,666
1005,719
1006,790
1007,848
1008,897
1009,915
1010,944
1011,958
1012,1005
1013,1072
1014,1297
1015,1744
1016,2314
1017,2862
1018,3278
1019,3274
1020,2973
1021,2591
1022,2178
1023,1833
1024,1517
1025,1237
1026,1008
1027,862
1028,805
1029,812
1030,851
1031,900
1032,933
1033,900
1034,858
1035,798
1036,745
1037,668
1038,635
1039,621
1040,634
1041,688
1042,766
1043,836
1044,855
1045,901
1046,943
1047,964
1048,971
1049,1021
1050,1184
1051,1563
1052,2082
1053,2619
1054,3039
1055,3143
1056,2925
1057,2553
1058,2159
1059,1798
1060,1446
1061,1170
1062,944
1063,806
1064,752
1065,800
1066,821
1067,895
1068,957
1069,982
1070,976
1071,865
1072,811
1073,758
1074,690
1075,667
1076,677
1077,717
1078,734
1079,822
1080,849
1081,916
1082,940
1083,966
1084,991
1085,1022
1086,1077
1087,1246
1088,1604
1089,2117
1090,2633
1091,3014
1092,3126
1093,2947
1094,2619
1095,2235
1096,1879
1097,1535
1098,1286
1099,1091
1100,969
1101,951
1102,992
1103,1055
1104,1130
1105,1134
