Index,Amplitude (0-4096)
0,2446
1,2770
2,2908
3,2832
4,2625
5,2320
6,2064
7,1778
8,1559
9,1360
10,1155
11,1055
12,994
13,1008
14,1045
15,1104
16,1121
17,1133
18,1122
19,1058
20,1023
21,972
22,959
23,924
24,942
25,931
26,960
27,988
28,1008
29,1046
30,1053
31,1088
32,1103
33,1135
34,1152
35,1186
36,1294
37,1584
38,2032
39,2497
40,2846
41,2975
42,2885
43,2651
44,2381
45,2077
46,1823
47,1610
48,1405
49,1232
50,1077
51,1040
52,1009
53,1042
54,1088
55,1123
56,1139
57,1142
58,1104
59,1053
60,1023
61,994
62,975
63,947
64,978
65,977
66,1022
67,1043
68,1068
69,1087
70,1102
71,1124
72,1159
73,1213
74,1399
75,1770
76,2187
77,2559
78,2795
79,2809
80,2640
81,2421
82,2125
83,1871
84,1650
85,1452
86,1270
87,1149
88,1091
89,1111
90,1137
91,1214
92,1250
93,1280
94,1242
95,1211
96,1146
97,1125
98,1073
99,1070
100,1046
101,1053
102,1062
103,1105
104,1116
105,1125
106,1145
107,1157
108,1166
109,1219
110,1420
111,1773
112,2210
113,2601
114,2813
115,2835
116,2685
117,2417
118,2158
119,1901
120,1680
121,1465
122,1289
123,1173
124,1087
125,1062
126,1091
127,1133
128,1170
129,1204
130,1203
131,1168
132,1109
133,1083
134,1045
135,1023
136,1023
137,1011
138,1036
139,1036
140,1079
141,1105
142,1117
143,1143
144,1153
145,1170
146,1186
147,1219
148,1331
149,1607
150,2027
151,2479
152,2841
153,3022
154,2970
155,2742
156,2465
157,2192
158,1927
159,1694
160,1475
161,1293
162,1170
163,1103
164,1066
165,1088
166,1130
167,1165
168,1162
169,1155
170,1104
171,1071
172,1043
173,1022
174,976
175,985
176,991
177,981
178,1021
179,1056
180,1065
181,1075
182,1114
183,1125
184,1170
185,1289
186,1631
187,2061
188,2477
189,2771
190,2855
191,2750
192,2512
193,2235
194,1969
195,1736
196,1518
197,1329
198,1173
199,1074
200,1043
201,1062
202,1110
203,1159
204,1201
205,1216
206,1167
207,1111
208,1071
209,1051
210,1002
211,999
212,989
213,1008
214,1040
215,1072
216,1093
217,1104
218,1115
219,1123
220,1183
221,1328
222,1638
223,2066
224,2461
225,2730
226,2782
227,2671
228,2429
229,2159
230,1896
231,1669
232,1474
233,1283
234,1138
235,1059
236,1072
237,1086
238,1147
239,1182
240,1212
241,1223
242,1167
243,1127
244,1079
245,1054
246,1023
247,1019
248,1022
249,1040
250,1040
251,1088
252,1103
253,1113
254,1134
255,1148
256,1157
257,1246
258,1466
259,1828
260,2249
261,2624
262,2799
263,2770
264,2623
265,2366
266,2103
267,1847
268,1647
269,1456
270,1280
271,1150
272,1079
273,1083
274,1094
275,1150
276,1202
277,1224
278,1202
279,1182
280,1115
281,1083
282,1051
283,1023
284,1008
285,1023
286,1040
287,1039
288,1088
289,1104
290,1132
291,1136
292,1169
293,1178
294,1226
295,1345
296,1625
297,2023
298,2417
299,2699
300,2800
301,2709
302,2505
303,2255
304,1999
305,1776
306,1584
307,1418
308,1279
309,1141
310,1109
311,1133
312,1149
313,1199
314,1247
315,1245
316,1229
317,1179
318,1125
319,1102
320,1069
321,1063
322,1060
323,1063
324,1065
325,1110
326,1107
327,1151
328,1147
329,1164
330,1181
331,1253
332,1456
333,1817
334,2233
335,2559
336,2742
337,2739
338,2559
339,2341
340,2070
341,1837
342,1616
343,1435
344,1286
345,1168
346,1119
347,1148
348,1190
349,1241
350,1296
351,1315
352,1264
353,1209
354,1156
355,1137
356,1099
357,1083
358,1075
359,1071
360,1079
361,1087
362,1121
363,1152
364,1149
365,1165
366,1205
367,1370
368,1711
369,2156
370,2505
371,2749
372,2789
373,2647
374,2432
375,2160
376,1922
377,1675
378,1482
379,1315
380,1173
381,1103
382,1092
383,1115
384,1161
385,1200
386,1228
387,1209
388,1167
389,1117
390,1040
391,1049
392,1040
393,1034
394,1008
395,1018
396,1061
397,1080
398,1094
399,1131
400,1125
401,1139
402,1181
403,1333
404,1661
405,2094
406,2511
407,2806
408,2908
409,2801
410,2551
411,2282
412,2006
413,1766
414,1558
415,1366
416,1201
417,1089
418,1040
419,1046
420,1084
421,1137
422,1157
423,1175
424,1136
425,1099
426,1053
427,1019
428,983
429,975
430,964
431,976
432,999
433,1014
434,1040
435,1059
436,1088
437,1102
438,1136
439,1126
440,1174
441,1195
442,1232
443,1246
444,1265
445,1313
446,1323
447,1407
448,1648
449,2069
450,2555
451,2991
452,3258
453,3248
454,2983
455,2651
456,2326
457,2017
458,1758
459,1535
460,1335
461,1188
462,1094
463,1073
464,1090
465,1139
466,1171
467,1206
468,1191
469,1167
470,1106
471,1055
472,1009
473,981
474,983
475,969
476,964
477,977
478,1008
479,1057
480,1084
481,1093
482,1114
483,1121
484,1168
485,1306
486,1602
487,2027
488,2470
489,2766
490,2907
491,2793
492,2559
493,2256
494,1991
495,1726
496,1509
497,1281
498,1124
499,1035
500,1021
501,1054
502,1141
503,1200
504,1263
505,1257
506,1229
507,1167
508,1136
509,1112
510,1076
511,1072
512,1070
513,1061
514,1074
515,1113
516,1126
517,1125
518,1136
519,1147
520,1168
521,1231
522,1456
523,1838
524,2297
525,2691
526,2899
527,2891
528,2701
529,2418
530,2128
531,1856
532,1614
533,1393
534,1219
535,1088
536,1023
537,1041
538,1090
539,1159
540,1230
541,1238
542,1231
543,1166
544,1120
545,1072
546,1039
547,1022
548,1008
549,1008
550,1040
551,1051
552,1104
553,1102
554,1121
555,1122
556,1147
557,1189
558,1274
559,1535
560,1969
561,2445
562,2835
563,3027
564,3002
565,2775
566,2466
567,2170
568,1889
569,1650
570,1436
571,1225
572,1109
573,1037
574,1017
575,1072
576,1122
577,1164
578,1195
579,1168
580,1114
581,1053
582,1022
583,981
584,957
585,976
586,976
587,988
588,991
589,1040
590,1040
591,1072
592,1088
593,1122
594,1136
595,1168
596,1203
597,1216
598,1235
599,1273
600,1424
601,1776
602,2272
603,2751
604,3172
605,3365
606,3203
607,2891
608,2523
609,2206
610,1905
611,1651
612,1425
613,1239
614,1111
615,1062
616,1040
617,1082
618,1143
619,1179
620,1181
621,1181
622,1129
623,1059
624,1021
625,970
626,950
627,930
628,942
629,941
630,976
631,997
632,1037
633,1040
634,1067
635,1099
636,1136
