Index,Amplitude (0-4096)
0,2446.0
1,2770.0
2,2908.0
3,2832.0
4,2625.0
5,2320.0
6,2064.0
7,1778.0
8,1559.0
9,1360.0
10,1155.0
11,1055.0
12,994.0
13,1008.0
14,1045.0
15,1104.0
16,1121.0
17,1133.0
18,1122.0
19,1058.0
20,1023.0
21,972.0
22,959.0
23,924.0
24,942.0
25,931.0
26,960.0
27,988.0
28,1008.0
29,1046.0
30,1053.0
31,1088.0
32,1103.0
33,1135.0
34,1152.0
35,1186.0
36,1294.0
37,1584.0
38,2032.0
39,2497.0
40,2846.0
41,2975.0
42,2885.0
43,2651.0
44,2381.0
45,2077.0
46,1823.0
47,1610.0
48,1405.0
49,1232.0
50,1077.0
51,1040.0
52,1009.0
53,1042.0
54,1088.0
55,1123.0
56,1139.0
57,1142.0
58,1104.0
59,1053.0
60,1023.0
61,994.0
62,975.0
63,947.0
64,978.0
65,977.0
66,1022.0
67,1043.0
68,1068.0
69,1087.0
70,1102.0
71,1124.0
72,1159.0
73,1213.0
74,1399.0
75,1770.0
76,2187.0
77,2559.0
78,2795.0
79,2809.0
80,2640.0
81,2421.0
82,2125.0
83,1871.0
84,1650.0
85,1452.0
86,1270.0
87,1149.0
88,1091.0
89,1111.0
90,1137.0
91,1214.0
92,1250.0
93,1280.0
94,1242.0
95,1211.0
96,1146.0
97,1125.0
98,1073.0
99,1070.0
100,1046.0
101,1053.0
102,1062.0
103,1105.0
104,1116.0
105,1125.0
106,1145.0
107,1157.0
108,1166.0
109,1219.0
110,1420.0
111,1773.0
112,2210.0
113,2601.0
114,2813.0
115,2835.0
116,2685.0
117,2417.0
118,2158.0
119,1901.0
120,1680.0
121,1465.0
122,1289.0
123,1173.0
124,1087.0
125,1062.0
126,1091.0
127,1133.0
128,1170.0
129,1204.0
130,1203.0
131,1168.0
132,1109.0
133,1083.0
134,1045.0
135,1023.0
136,1023.0
137,1011.0
138,1036.0
139,1036.0
140,1079.0
141,1105.0
142,1117.0
143,1143.0
144,1153.0
145,1170.0
146,1186.0
147,1219.0
148,1331.0
149,1607.0
150,2027.0
151,2479.0
152,2841.0
153,3022.0
154,2970.0
155,2742.0
156,2465.0
157,2192.0
158,1927.0
159,1694.0
160,1475.0
161,1293.0
162,1170.0
163,1103.0
164,1066.0
165,1088.0
166,1130.0
167,1165.0
168,1162.0
169,1155.0
170,1104.0
171,1071.0
172,1043.0
173,1022.0
174,976.0
175,985.0
176,991.0
177,981.0
178,1021.0
179,1056.0
180,1065.0
181,1075.0
182,1114.0
183,1125.0
184,1170.0
185,1289.0
186,1631.0
187,2061.0
188,2477.0
189,2771.0
190,2855.0
191,2750.0
192,2512.0
193,2235.0
194,1969.0
195,1736.0
196,1518.0
197,1329.0
198,1173.0
199,1074.0
200,1043.0
201,1062.0
202,1110.0
203,1159.0
204,1201.0
205,1216.0
206,1167.0
207,1111.0
208,1071.0
209,1051.0
210,1002.0
211,999.0
212,989.0
213,1008.0
214,1040.0
215,1072.0
216,1093.0
217,1104.0
218,1115.0
219,1123.0
220,1183.0
221,1328.0
222,1638.0
223,2066.0
224,2461.0
225,2730.0
226,2782.0
227,2671.0
228,2429.0
229,2159.0
230,1896.0
231,1669.0
232,1474.0
233,1283.0
234,1138.0
235,1059.0
236,1072.0
237,1086.0
238,1147.0
239,1182.0
240,1212.0
241,1223.0
242,1167.0
243,1127.0
244,1079.0
245,1054.0
246,1023.0
247,1019.0
248,1022.0
249,1040.0
250,1040.0
251,1088.0
252,1103.0
253,1113.0
254,1134.0
255,1148.0
256,1157.0
257,1246.0
258,1466.0
259,1828.0
260,2249.0
261,2624.0
262,2799.0
263,2770.0
264,2623.0
265,2366.0
266,2103.0
267,1847.0
268,1647.0
269,1456.0
270,1280.0
271,1150.0
272,1079.0
273,1083.0
274,1094.0
275,1150.0
276,1202.0
277,1224.0
278,1202.0
279,1182.0
280,1115.0
281,1083.0
282,1051.0
283,1023.0
284,1008.0
285,1023.0
286,1040.0
287,1039.0
288,1088.0
289,1104.0
290,1132.0
291,1136.0
292,1169.0
293,1178.0
294,1226.0
295,1345.0
296,1625.0
297,2023.0
298,2417.0
299,2699.0
300,2800.0
301,2709.0
302,2505.0
303,2255.0
304,1999.0
305,1776.0
306,1584.0
307,1418.0
308,1279.0
309,1141.0
310,1109.0
311,1133.0
312,1149.0
313,1199.0
314,1247.0
315,1245.0
316,1229.0
317,1179.0
318,1125.0
319,1102.0
320,1069.0
321,1063.0
322,1060.0
323,1063.0
324,1065.0
325,1110.0
326,1107.0
327,1151.0
328,1147.0
329,1164.0
330,1181.0
331,1253.0
332,1456.0
333,1817.0
334,2233.0
335,2559.0
336,2742.0
337,2739.0
338,2559.0
339,2341.0
340,2070.0
341,1837.0
342,1616.0
343,1435.0
344,1286.0
345,1168.0
346,1119.0
347,1148.0
348,1190.0
349,1241.0
350,1296.0
351,1315.0
352,1264.0
353,1209.0
354,1156.0
355,1137.0
356,1099.0
357,1083.0
358,1075.0
359,1071.0
360,1079.0
361,1087.0
362,1121.0
363,1152.0
364,1149.0
365,1165.0
366,1205.0
367,1370.0
368,1711.0
369,2156.0
370,2505.0
371,2749.0
372,2789.0
373,2647.0
374,2432.0
375,2160.0
376,1922.0
377,1675.0
378,1482.0
379,1315.0
380,1173.0
381,1103.0
382,1092.0
383,1115.0
384,1161.0
385,1200.0
386,1228.0
387,1209.0
388,1167.0
389,1117.0
390,1040.0
391,1049.0
392,1040.0
393,1034.0
394,1008.0
395,1018.0
396,1061.0
397,1080.0
398,1094.0
399,1131.0
400,1125.0
401,1139.0
402,1181.0
403,1333.0
404,1661.0
405,2094.0
406,2511.0
407,2806.0
408,2908.0
409,2801.0
410,2551.0
411,2282.0
412,2006.0
413,1766.0
414,1558.0
415,1366.0
416,1201.0
417,1089.0
418,1040.0
419,1046.0
420,1084.0
421,1137.0
422,1157.0
423,1175.0
424,1136.0
425,1099.0
426,1053.0
427,1019.0
428,983.0
429,975.0
430,964.0
431,976.0
432,999.0
433,1014.0
434,1040.0
435,1059.0
436,1088.0
437,1102.0
438,1136.0
439,1126.0
440,1174.0
441,1195.0
442,1232.0
443,1246.0
444,1265.0
445,1313.0
446,1323.0
447,1407.0
448,1648.0
449,2069.0
450,2555.0
451,2991.0
452,3258.0
453,3248.0
454,2983.0
455,2651.0
456,2326.0
457,2017.0
458,1758.0
459,1535.0
460,1335.0
461,1188.0
462,1094.0
463,1073.0
464,1090.0
465,1139.0
466,1171.0
467,1206.0
468,1191.0
469,1167.0
470,1106.0
471,1055.0
472,1009.0
473,981.0
474,983.0
475,969.0
476,964.0
477,977.0
478,1008.0
479,1057.0
480,1084.0
481,1093.0
482,1114.0
483,1121.0
484,1168.0
485,1306.0
486,1602.0
487,2027.0
488,2470.0
489,2766.0
490,2907.0
491,2793.0
492,2559.0
493,2256.0
494,1991.0
495,1726.0
496,1509.0
497,1281.0
498,1124.0
499,1035.0
500,1021.0
501,1054.0
502,1141.0
503,1200.0
504,1263.0
505,1257.0
506,1229.0
507,1167.0
508,1136.0
509,1112.0
510,1076.0
511,1072.0
512,1070.0
513,1061.0
514,1074.0
515,1113.0
516,1126.0
517,1125.0
518,1136.0
519,1147.0
520,1168.0
521,1231.0
522,1456.0
523,1838.0
524,2297.0
525,2691.0
526,2899.0
527,2891.0
528,2701.0
529,2418.0
530,2128.0
531,1856.0
532,1614.0
533,1393.0
534,1219.0
535,1088.0
536,1023.0
537,1041.0
538,1090.0
539,1159.0
540,1230.0
541,1238.0
542,1231.0
543,1166.0
544,1120.0
545,1072.0
546,1039.0
547,1022.0
548,1008.0
549,1008.0
550,1040.0
551,1051.0
552,1104.0
553,1102.0
554,1121.0
555,1122.0
556,1147.0
557,1189.0
558,1274.0
559,1535.0
560,1969.0
561,2445.0
562,2835.0
563,3027.0
564,3002.0
565,2775.0
566,2466.0
567,2170.0
568,1889.0
569,1650.0
570,1436.0
571,1225.0
572,1109.0
573,1037.0
574,1017.0
575,1072.0
576,1122.0
577,1164.0
578,1195.0
579,1168.0
580,1114.0
581,1053.0
582,1022.0
583,981.0
584,957.0
585,976.0
586,976.0
587,988.0
588,991.0
589,1040.0
590,1040.0
591,1072.0
592,1088.0
593,1122.0
594,1136.0
595,1168.0
596,1203.0
597,1216.0
598,1235.0
599,1273.0
600,1424.0
601,1776.0
602,2272.0
603,2751.0
604,3172.0
605,3365.0
606,3203.0
607,2891.0
608,2523.0
609,2206.0
610,1905.0
611,1651.0
612,1425.0
613,1239.0
614,1111.0
615,1062.0
616,1040.0
617,1082.0
618,1143.0
619,1179.0
620,1181.0
621,1181.0
622,1129.0
623,1059.0
624,1021.0
625,970.0
626,950.0
627,930.0
628,942.0
629,941.0
630,976.0
631,997.0
632,1037.0
633,1040.0
634,1067.0
635,1099.0
636,1136.0
637,1263.0
638,1586.0
639,2031.0
640,2496.0
641,2832.0
642,2978.0
643,2864.0
644,2615.0
645,2306.0
646,2001.0
647,1741.0
648,1488.0
649,1277.0
650,1111.0
651,1021.0
652,1000.0
653,1040.0
654,1104.0
655,1183.0
656,1232.0
657,1226.0
658,1195.0
659,1118.0
660,1085.0
661,1037.0
662,978.0
663,969.0
664,968.0
665,991.0
666,997.0
667,1035.0
668,1067.0
